Bin No,Bin Type,Street,Ward-DED,LEA,DCC Area,NG Eastings,NG Northings,ITM Eastings,ITM Northings,Date surveyed,Advert Space,Used Advert space,Cig Butt container,Location: Footpath,Location: Residential,Location: Retail/Shop,Location:School,Location: Public Building,Location: Park,Location: Other,Damaged,Accessible,Depot,BIDS area,Fingal Co Co,South Dublin Co Co,DLR Co Co,Other,CBD Area
2068011,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315128,234723,715054,734749,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,BARBER SHOP,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068012,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315162,234737,715088,734763,19/06/2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068013,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315198,234757,715124,734783,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068014,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315230,234785,715156,734811,19/06/2008,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE
2068015,B,BOLTON STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315269,234854,715195,734880,19/06/2008,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,COLLEGE - DIT,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE
2068016,B,BOLTON STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315298,234913,715224,734939,19/06/2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,SPAR,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE
2068017,B,BOLTON STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315323,234961,715249,734987,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE
2068018,B,BOLTON STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315334,234982,715260,735008,19/06/2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,DELI,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE
2068019,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315163,234716,715089,734742,19/06/2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068020,E,ORMOND QUAY UPPER,INNS QUAY C,NORTH INNER CITY,CENTRAL,315205,234203,715131,734229,19/06/2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068021,E,ORMOND QUAY UPPER,INNS QUAY C,NORTH INNER CITY,CENTRAL,315267,234219,715193,734245,19/06/2008,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068022,A,INNS QUAY,INNS QUAY C,NORTH INNER CITY,CENTRAL,314944,234200,714870,734226,19/06/2008,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068023,B,GREEK STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315072,234335,714998,734361,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FOUR COURTS/LUAS,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068024,B,GREEK STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315049,234445,714870,734471,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2075001,E,Jervis Street,North City,North inner city,Central,315455,234670,715381,734696,19/06/2008,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075002,E,Marlborough Street,North City,North inner city,Central,315999,234886,715925,734912,04/04/2008,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075003,E,Marlborough Street,North City,North inner city,Central,315992,234862,715918,734888,04/04/2008,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075004,E,Marlborough Street,North City,North inner city,Central,315999,234843,715925,734869,04/04/2008,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hostel,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075005,A,Marlborough Street,North City,North inner city,Central,316043,234723,715969,734749,04/04/2008,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075006,A,Marlborough Street,North City,North inner city,Central,316052,234692,715978,734718,04/04/2008,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075007,A,Marlborough Street,North City,North inner city,Central,316059,234661,715985,734687,04/04/2008,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Restaurant,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075008,A,Marlborough Street,North City,North inner city,Central,316078,234595,716004,734621,04/04/2008,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075009,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315492,234557,715418,734583,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075010,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315497,234552,715423,734578,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,RESTAURANT,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075011,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,215512,234562,715459,734589,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075012,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315522,234557,715448,734583,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075013,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315531,234568,715457,734594,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075014,A,HENRY STREET,NORTH CITY,NORTH INNER CITY,CENTRAL,315538,234562,715464,734588,03/03/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
