STREET,DISTRICT,WARD,FROM,TO,,,,
LEEDS AND BRADFORD ROAD,BRAMLEY,BRAMLEY AND STANNINGLEY,JUNCTION WITH BRIDGE ROAD AND WYTHER LANE,CHURCH HILL MOUNT,,,,
LEEDS LANE,SWILLINGTON,GARFORTH AND SWILLINGTON,SWILLINGTON LANE,WAKEFIELD ROAD,,,,
LEEDS ROAD,OULTON,ROTHWELL,JUNCTION WITH ABERFORD ROAD (NEAR SPORTS CENTRE),OULTON ROUNDABOUT,,,,
LEEDS ROAD,OTLEY,OTLEY AND YEADON,GAY LANE,OTLEY BY-PASS ROUNDABOUT,,,,
LEEDS ROAD,METHLEY,KIPPAX AND METHLEY,METHLEY LANE A639,CHURCH SIDE A639,,,,
LEEDS ROAD,BRAMHOPE,ADEL AND WHARFEDALE,OTLEY ROAD,JUNCTION WITH POOL BANK,,,,
LEEDS ROAD,WOODLESFORD,ROTHWELL,AND INC. OULTON ROUNDABOUT,JOHN O GAUNTS TRADING EST.,,,,
LEEDS ROAD,GUISELEY,GUISELEY AND RAWDON,JUNCTION WITH OTLEY ROAD AND PARK ROAD,NEW ROAD,,,,
LEEDS ROAD,RAWDON,HORSFORTH,JUNCTION WITH NEW ROAD SIDE MICKLEFIELD LANE HARROGATE ROAD & CROW TREES PARK,RAWDON ROAD,,,,
LEEDS ROAD,COLLINGHAM,HAREWOOD,WETHERBY ROAD,MAIN STREET,,,,
LEEDS ROAD,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,JUNCTION WITH SHARP LANE COPLEY LANE AND WAKEFIELD ROAD,JUNCTION WITH LEEDS ROAD AND PARK PartIVE,,,,
LEEDS ROAD,KIPPAX,KIPPAX AND METHLEY,SELBY ROAD,JUNCTION WITH HIGH STREET AND CROSS HILLS,,,,
LEEDS ROAD,ALLERTON BYWATER,KIPPAX AND METHLEY,PARK  LANE,QUEEN STREET,,,,
LEEDS ROAD,POOL,ADEL AND WHARFEDALE,POOL BANK NEW ROAD,OLD POOL BANK,,,,
LEEDS ROAD,OTLEY,OTLEY AND YEADON,OTLEY BY PASS,LEEDS ROAD POOL,,,,
LEEDS ROAD,BARWICK,HAREWOOD,MAIN STREET (SCHOLES),MAIN STREET (BARWICK),,,,
LEEDS ROAD,SCHOLES,HAREWOOD,BARWICK ROAD,JUNCTION WITH MAIN STREET AND LONG LANE,,,,
LEEDS ROAD TO PONTEFRACT ROAD LINK,STOURTON,CITY AND HUNSLET,M621 ROUNDABOUT,PONTEFRACT ROAD ROUNDABOUT,,,,
LEEDS ROAD TO PONTEFRACT ROAD LINK,STOURTON,CITY AND HUNSLET,PONTEFRACT ROAD ROUNDABOUT,John OLEICESTER PLACE,WOODHOUSE,HYDE PARK AND WOODHOUSE,ST MARKS ROAD,CARLTON HILL
LIDGETT HILL,PUDSEY,PUDSEY,CHURCH LANE,CEMETRY ROAD,,,,
LIDGETT LANE,ROUNDHAY,ROUNDHAY,GLEDHOW LANE,GLEDHOW AVE,,,,
LIDGETT LANE,ROUNDHAY,ROUNDHAY,HARROGATE ROAD,GLEDHOW AVENUE,,,,
LIDGETT LANE,GARFORTH,GARFORTH AND SWILLINGTON,MAIN STREET /CHURCH LANE,SELBY ROAD A.63,,,,
LIDGETT PARK ROAD,ROUNDHAY,ROUNDHAY,PRINCES AVENUE,END,,,,
LIDGETT WALK,GLEDHOW,ROUNDHAY,THORN LANE,GLEDHOW WOOD GROVE,,,,
LIMEWOOD APPROACH,SEACROFT,KILLINGBECK AND SEACROFT,RING ROAD SEACROFT,END,,,,
LINCOLN GREEN ROAD,SHEEPSCAR,BURMANTOFTS AND RICHMOND HILL,BECKETT STREET,MABGATE,,,,
LING LANE,SCARCROFT,HAREWOOD,BAY HORSE LANE,WETHERBY ROAD,,,,
LING LANE,SCARCROFT,HAREWOOD,TARN LANE,BAY HORSE LANE,,,,
LINGFIELD APPROACH,MOORTOWN,ALWOODLEY,KING LANE,JUNCTION WITH LINGFIELD HILL LINGFIELD PartIVE & LINGFIELD ROAD,,,,
LINGFIELD HILL,MOORTOWN,ALWOODLEY,NURSERY LANE,JUNCTION WITH LINGFIELD ROAD LINGFIELD PartIVE AND LINGFIELD APPROACH,,,,
LINGWELL GATE LANE,THORPE,ARDSLEY AND ROBIN HOOD,MOTORWAY BRIDGE,MIDDLETON LANE,,,,
LINGWELL GATE LANE,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,THORPE LOWER LANE,GASGOIGNE ROAD,,,,
LINTON AVENUE,ALWOODLEY,ALWOODLEY,SHADWELL LANE,LINTON GROVE,,,,
LINTON GROVE,ALWOODLEY,ALWOODLEY,LINTON AVENUE,LINTON ROAD,,,,
LINTON LANE,LINTON,HAREWOOD,LINTON ROAD,MAIN STREET,,,,
LINTON ROAD,ALWOODLEY,ALWOODLEY,LINTON GROVE,HIGH ASH DRIVE,,,,
LINTON ROAD,COLLINGHAM,HAREWOOD,HAREWOOD ROAD,UP TO AND INCLUDING LINTON BRIDGE,,,,
LINTON ROAD,WETHERBY,WETHERBY,A661 - JUNCTION OF SPOFFORTH HILL & WESTGATE,JUNCTION WITH LINTON LANE AND SICKLINGHALL ROAD,,,,
LISKER DRIVE,OTLEY,OTLEY AND YEADON,JUNCTION WITH LISKER COURT AND CROFT STREET,CAMBRIDGE PartIVE,,,,
LISTER HILL,HORSFORTH,HORSFORTH,LONG ROW,LOW LANE,,,,
LITTLEMOOR ROAD,PUDSEY,PUDSEY,RADCLIFFE LANE,ROKER LANE,,,,
LOCKWOOD WAY,HUNSLET,CITY AND HUNSLET,PARKSIDE LANE,MIDDLETON GROVE,,,,
LODGE LANE,BEESTON,CITY AND HUNSLET,BEESTON ROAD,TRENTHAM STREET,,,,
LODGE ROAD,PUDSEY,CALVERLEY AND FARSLEY,THORPE ROAD,CEMETERY ROAD,,,,
LONG CAUSEWAY,ADEL,ADEL AND WHARFEDALE,ADEL LANE / WEETWOOD LANE,BACK CHURCH LANE,,,,
LONG CAUSEWAY,RICHMOND HILL,BURMANTOFTS AND RICHMOND HILL,SOUTH ACCOMODATION ROAD,KNOWSTHORPE LANE,,,,
LONG LANE,BARWICK,HAREWOOD,JUNCTION WITH MAIN STREET AND LEEDS ROAD,JUNCTION WITH PARLINGTON LANE BARWICK ROAD AND ELLIS LANE,,,,
LONG ROW,HORSFORTH,HORSFORTH,JCTN WITH STATION RD BROWNBERRIE AVE BROWNBERRIE LN & ST MARGARETS RD,JUNCTION WITH BROADGATE LANE AND TOWN STREET,,,,
LONGDIKE LANE,KIPPAX,KIPPAX AND METHLEY,JUNCTION WITH PARK AVENUE AND HIGH STREET,JUNCTION WITH RIDGE ROAD BACK NEWTON LANE AND BARNSDALE ROAD,,,,
LONGFIELD ROAD,PUDSEY,PUDSEY,ROBIN LANE,LIDGETT HILL,,,,
LONGTHORPE LANE,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,LINGWELL GATE LANE,LEEDS ROAD (A.61),,,,
LOTHERTON LANE,ABERFORD,HAREWOOD,MAIN STREET,COPLEY LANE,,,,
LOVELL PARK ROAD,SHEEPSCAR,HYDE PARK AND WOODHOUSE,ELMWOOD STREET,WADE LANE,,,,
LOW LANE,HORSFORTH,HORSFORTH,BROADWAY,TROY ROAD,,,,
LOW LANE,HORSFORTH,HORSFORTH,BUTCHER HILL,BROADWAY,,,,
LOW MOOR SIDE,FARNLEY,FARNLEY AND WORTLEY,LAWNS LANE,LOW MOOR SIDE LANE,,,,
LOW MOOR SIDE LANE,FARNLEY,FARNLEY AND WORTLEY,WHITEHALL ROAD,NEWTON SQUARE,,,,
LOW ROAD,HUNSLET,CITY AND HUNSLET,HUNSLET ROAD,THWAITE GATE,,,,
LOW WAY,BRAMHAM,WETHERBY,TOWN HILL,FRONT STREET,,,,
LOWER MICKLETOWN,METHLEY,KIPPAX AND METHLEY,MAIN STREET,GREEN LANE,,,,
LOWER WORTLEY ROAD,LOWER WORTLEY,FARNLEY AND WORTLEY,GRANNY LANE,JUNCTION WITH UPPER WORTLEY ROAD OLDFIELD LANE DIXON LANE AND GREEN HILL LANE,,,,
LOWFIELDS ROAD NORTH,BEESTON,BEESTON AND HOLBECK,GELDERD ROAD,LOWFIELDS AVENUE,,,,
LOWRY ROAD,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,CONSTABLE ROAD,DEWSBURY ROAD,,,,
LOWTOWN,PUDSEY,PUDSEY,JUNCTION WITH LONGFIELD ROAD LIDGETT HILL AND CHURCH LANE,JUNCTION WITH SWINNOW ROAD AND HOUGH SIDE ROAD,,,,
LUCAS PLACE,WOODHOUSE,HYDE PARK AND WOODHOUSE,DELPH LANE,HARTLEY CRESCENT,,,,
LUMBY LANE,PUDSEY,PUDSEY,VALLEY ROAD,LITTLEMOOR ROAD,,,,
LUPTON AVENUE,HAREHILLS,BURMANTOFTS AND RICHMOND HILL,YORK ROAD,NOWELL LANE,,,,
MAGPIE LANE,MORLEY,MORLEY SOUTH,HIGH STREET,WIDE LANE,,,,
MAIN STREET,ABERFORD,HAREWOOD,BUNKERS HILL,TURNING AREA AT E443364 N438515,,,,
MAIN STREET,LINTON,HAREWOOD,LINTON LANE,STAMMERGATE LANE,,,,
MAIN STREET,CARLTON,ROTHWELL,STAINTON LANE,CHAPEL STREET,,,,
MAIN STREET,LEDSTON,KIPPAX AND METHLEY,JOIN WITH LEDSTON MILL LANE LOCATED APPROX. 20M SOUTH OF No.1 MAIN STREET,JOIN WITH NORTHERN PART OF LEDSTON MILL LANE AND GREEN LANE,,,,
MAIN STREET,SCHOLES,HAREWOOD,STATION ROAD,LEEDS ROAD,,,,
MAIN STREET,BARWICK,HAREWOOD,LEDS ROAD,THE BOYLE,,,,
MAIN STREET,EAST KESWICK,HAREWOOD,WYKE LANE AT KESWICK BECK,WHITEGATE LANE/LUMBLY LANE,,,,
MAIN STREET,ALLERTON BYWATER,KIPPAX AND METHLEY,STATION ROAD,LEEDS ROAD,,,,
MAIN STREET,METHLEY,KIPPAX AND METHLEY,MICKLETOWN ROAD,LOWER MICKLETOWN,,,,
MAIN STREET,POOL,ADEL AND WHARFEDALE,ARTHINGTON  LANE,POOL ROAD,,,,
MAIN STREET,SHADWELL,HAREWOOD,HOLYWELL LANE,CITY BOUNDARY,,,,
MAIN STREET,HAWKSWORTH,GUISELEY AND RAWDON,HAWKSWORTH LANE,JUNCTION WITH OLD LANE AND ODDA LANE,,,,
MAIN STREET,COLLINGHAM,HAREWOOD,LEEDS ROAD (A.58),WETHERBY ROAD,,,,
MAIN STREET,GARFORTH,GARFORTH AND SWILLINGTON,LYDGETT LANE,WAKEFIELD ROAD,,,,
MAIN STREET,THORNER,HAREWOOD,CHURCH VIEW,THORNER LANE,,,,
MAIN STREET,WALTON,WETHERBY,SCHOOL LANE,HALL PARK ROAD,,,,
MAIN STREET,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,THORPE ROAD/CHAPEL STREET,FALL LANE,,,,
MALVERN ROAD,BEESTON,BEESTON AND HOLBECK,CEMETERY ROAD,BEESTON ROAD,,,,
MANOR CRESCENT,ROTHWELL,ROTHWELL,MANOR ROAD,COTSWOLD ROAD,,,,
MANOR FARM DRIVE,MIDDLETON,MIDDLETON PARK,NEWHALL ROAD,WEST TO END,,,,
MANOR FARM GREEN,MIDDLETON,MIDDLETON PARK,MANOR FARM GROVE,WEST TO END,,,,
MANOR FARM GROVE,MIDDLETON,MIDDLETON PARK,MANOR FARM ROAD,MANOR FARM DRIVE,,,,
MANOR FARM RISE,MIDDLETON,MIDDLETON PARK,MANOR FARM DRIVE,MANOR FARM ROAD,,,,
MANOR FARM ROAD,MIDDLETON,MIDDLETON PARK,NEWHALL CRESCENT,WEST TO END,,,,
MANOR FARM WAY,MIDDLETON,MIDDLETON PARK,TOWN STREET MIDDLETON,MANOR FARM ROAD,,,,
MANOR ROAD,HOLBECK,CITY AND HUNSLET,MARSHALL STREET,VICTORIA ROAD,,,,
MANOR ROAD,ROTHWELL,ROTHWELL,WOOD LANE,COTSWOLD ROAD,,,,
MANOR SQUARE,OTLEY,OTLEY AND YEADON,KIRKGATE,CLAPGATE,,,,
MANSTON APPROACH,CROSSGATES,CROSS GATES AND WHINMOOR,MANSTON PartIVE,CHURCH LANE,,,,
MANSTON LANE,CROSSGATES,CROSS GATES AND WHINMOOR,AUSTHORPE ROAD,BARNBOW LANE,,,,
MAPLE DRIVE,FARNLEY,FARNLEY AND WORTLEY,JOINING WITH LAWNS LANE,CHAPEL LANE,,,,
MARKET PLACE,WETHERBY,WETHERBY,WETHERBY TOWN HALL,B.6164,,,,
MARKET PLACE,PUDSEY,PUDSEY,CHURCH LANE,END,,,,
MARSH LANE,CENTRAL,BURMANTOFTS AND RICHMOND HILL,YORK ROAD,EAST STREET,,,,
MARSH LANE,CENTRAL,BURMANTOFTS AND RICHMOND HILL,DUKE STREET,YORK ROAD,,,,
MARSH STREET,ROTHWELL,ROTHWELL,COMMERCIAL STREET,BUTCHER LANE,,,,
MARSHALL STREET,HOLBECK,CITY AND HUNSLET,WATER LANE,JACK LANE,,,,
MARSHALL STREET,YEADON,OTLEY AND YEADON,HIGH STREET,HAWHORNE ROAD,,,,
MEADOW LANE,CENTRAL,CITY AND HUNSLET,GREAT WILSON STREET,DEWSBURY ROAD,,,,
MEADOW LANE,CENTRAL,CITY AND HUNSLET,GREAT WILSON STREET,BRIDGE END,,,,
MEADOW ROAD,HOLBECK,CITY AND HUNSLET,VICTORIA ROAD,M621,,,,
MEAGILL RISE,OTLEY,OTLEY AND YEADON,WESTON PartIVE,LOOP,,,,
MEANWOOD ROAD,WOODHOUSE,CHAPEL ALLERTON,GROVE LANE,NORTH STREET,,,,
MEANWOOD ROAD,WOODHOUSE,CHAPEL ALLERTON,STAINBECK ROAD,STONEGATE ROAD,,,,
MELBOURNE STREET,MORLEY,MORLEY SOUTH,PEEL STREET,MIDDLETON ROAD,,,,
MELVILLE PLACE,WOODHOUSE,HYDE PARK AND WOODHOUSE,JOHNSTON STREET,GULCAR PLACE,,,,
MELVILLE ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE STREET,MELVILLE PLACE,,,,
MERRION STREET,CENTRAL,CITY AND HUNSLET,WADE LANE,NORTH STREET,,,,
MERRION WAY,CENTRAL,CITY AND HUNSLET,WADE LANE,CLAY PIT LANE,,,,
METHLEY LANE,OULTON,ROTHWELL,ABERFORD ROAD A642,STATION ROAD,,,,
MEYNELL AVENUE,ROTHWELL,ROTHWELL,PARK WEST,COMMERCIAL STREET,,,,
MICKLEFIELD LANE,RAWDON,GUISELEY AND RAWDON,APPERLEY LANE,JUNCTION WITH NEW ROAD SIDE LEEDS ROAD CROW TREES PARK AND HARROGATE ROAD,,,,
MICKLEFIELD ROAD,RAWDON,GUISELEY AND RAWDON,A65 LEEDS ROAD,MICKLEFIELD LANE,,,,
MICKLETOWN ROAD,METHLEY,KIPPAX AND METHLEY,CHURCH LANE,MAIN STREET,,,,
MIDDLETON GROVE,BEESTON,CITY AND HUNSLET,DEWSBURY ROAD,END,,,,
MIDDLETON LANE,THORPE,ARDSLEY AND ROBIN HOOD,THORPE LANE,LINGWELL GATE LANE,,,,
MIDDLETON PARK AVENUE,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK CIRCUS,THORPE LANE ( A654 ),,,,
MIDDLETON PARK CIRCUS,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK ROAD,MIDDLETON PARK ROAD,,,,
MIDDLETON PARK MOUNT,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK AVENUE,SISSONS ROAD,,,,
MIDDLETON PARK ROAD,MIDDLETON,MIDDLETON PARK,RING ROAD BEESTON PARK,RING ROAD MIDDLETON,,,,
MIDDLETON PARK ROAD,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK ROAD,THROSTLE ROAD,,,,
MIDDLETON ROAD,MORLEY,MORLEY SOUTH,WIDE LANE (CROFTON TERRACE),WIDE LANE (GILLROYD TERRACE),,,,
MIDDLETON ROAD,BELLE ISLE,MIDDLETON PARK,BELLE ISLE ROAD,JUNCTION WITH PEPPER ROAD AND WOODHOUSE HILL ROAD,,,,
MIDLAND ROAD,HUNSLET,CITY AND HUNSLET,BALM ROAD,PEPPER ROAD,,,,
MIDLAND ROAD,HEADINGLEY,HYDE PARK AND WOODHOUSE,KENSINGTON TERRACE,HYDE PARK TERRACE,,,,
MIDLAND STREET,WOODLESFORD,ROTHWELL,OULTON LANE,ABERFORD ROAD,,,,
MILL HILL,CENTRAL,CITY AND HUNSLET,BOAR LANE,SWINEGTE,,,,
MILL LANE,BARDSEY,HAREWOOD,A.58,RIGTON & BARDSEY BRIDGE,,,,
MILL LANE,HAWKSWORTH,GUISELEY AND RAWDON,POTTER BROW ROAD,FOUR LANE ENDS,,,,
MILLSHAW,BEESTON,BEESTON AND HOLBECK,ELLAND ROAD,TOWN STREET BEESTON,,,,
MILLSHAW PARK AVENUE,BEESTON,MORLEY NORTH,MILLSHAW PARK LANE,END,,,,
MILLSHAW PARK LANE,BEESTON,MORLEY NORTH,MILLSHAW,MILLSHAW PARK AVENUE,,,,
MILLSHAW PARK WAY,BEESTON,BEESTON AND HOLBECK,MILLSHAW,NORTHERLY,,,,
MILLSHAW ROAD,BEESTON,BEESTON AND HOLBECK,DEWSBURY ROAD,RING ROAD (BEESTON),,,,
MILNER LANE,THORNER,HAREWOOD,CHURCH VIEW,HOLME FARM LANE,,,,
MILNTHORPE LANE,BRAMHAM,WETHERBY,WETHERBY ROAD,TENTER HILL,,,,
MONK BRIDGE ROAD,MEANWOOD,WEETWOOD,SHAW LANE,MEANWOOD ROAD,,,,
MONKSWOOD AVENUE,SEACROFT,KILLINGBECK AND SEACROFT,KENTMERE AVENUE,MONKSWOOD GATE,,,,
MONKSWOOD GATE,SEACROFT,KILLINGBECK AND SEACROFT,MONKSWOOD AVENUE,RING ROAD SEACROFT,,,,
MONTREAL AVENUE,CHAPEL ALLERTON,CHAPEL ALLERTON,HARROGATE RD/CHURCH LN.,GLEDHOW PARK PartI./GLEDHOW PARK RD.,,,,
MOOR END,BOSTON SPA,WETHERBY,GREAT NORTH ROAD (A1),HIGH STREET,,,,
MOOR GRANGE DRIVE,WEST PARK,KIRKSTALL,SPEN LANE,NORTH WEST,,,,
MOOR GRANGE VIEW,WEST PARK,KIRKSTALL,BUTCHER HILL,MOOR GRANGE PartIVE,,,,
MOOR LANE,GUISELEY,GUISELEY AND RAWDON,MOOR TOP,JUNCTION WITH TOWN STREET,,,,
MOOR ROAD,HUNSLET,CITY AND HUNSLET,DEWSBURY ROAD,SOUTH-EAST TO END,,,,
MOOR ROAD,WEETWOOD,WEETWOOD,WEETWOOD LANE,MONKBRIDGE ROAD,,,,
MOOR ROAD,BRAMHOPE,ADEL AND WHARFEDALE,OTLEY OLD ROAD/COOKRIDGE LANE,OLD BRAMHOPE LANE/EASTGATE,,,,
MOOR TOP,GUISELEY,GUISELEY AND RAWDON,WINDMILL LANE,WEST CHEVIN ROAD,,,,
MOOR TOP,GUISELEY,GUISELEY AND RAWDON,WINDMILL LANE,MOOR LANE,,,,
MOORLAND AVENUE,GILDERSOME,MORLEY NORTH,GUILDERSOME LANE,SRING AVENUE,,,,
MOORLAND AVENUE,GUISELEY,GUISELEY AND RAWDON,KELCLIFFE LANE,MOOR LANE,,,,
MOORLAND ROAD,DRIGHLINGTON,MORLEY NORTH,STATION  ROAD,MOORSIDE ROAD,,,,
MOORLAND ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,HYDE PARK ROAD,CLARENDON ROAD,,,,
MOORSIDE ROAD,DRIGHLINGTON,MORLEY NORTH,JUNCTION WITH KING STREET AND WAKEFIELD ROAD,JUNCTION WITH STATION ROAD AND HODGSON LANE,,,,
MOORVILLE ROAD,BEESTON,CITY AND HUNSLET,HUNSLET HALL ROAD,BEESTON ROAD,,,,
MORESDALE LANE,SEACROFT,KILLINGBECK AND SEACROFT,SOUTH PARKWAY,YORK ROAD,,,,
MORRIS LANE,KIRKSTALL,KIRKSTALL,KIRKSTALL LANE,SPEN LANE,,,,
MOUNT PLEASANT ROAD,PUDSEY,PUDSEY,RICHARDSHAW LANE,LANE END,,,,
NABURN APPROACH,WHINMOOR,CROSS GATES AND WHINMOOR,COAL ROAD,SHERBURN ROAD NORTH,,,,
NABURN CLOSE,WHINMOOR,CROSS GATES AND WHINMOOR,SHERBURN ROAD,NORTH-EAST TO END,,,,
NATIONAL ROAD,HUNSLET,CITY AND HUNSLET,GOODMAN STREET,OLD MILL LANE,,,,
NELSON STREET,OTLEY,OTLEY AND YEADON,WALKERGATE,CROSSGATE,,,,
NEPSHAW LANE SOUTH,MORLEY,MORLEY NORTH,WAKEFIELD ROAD,DISTRIBUTION CENTRE,,,,
NETHERFIELD ROAD,GUISELEY,GUISELEY AND RAWDON,CHEVIN END ROAD,OXFORD ROAD,,,,
NEVILLE AVENUE,OSMONDTHORPE,TEMPLE NEWSAM,HALTON MOOR AVENUE,NEVILLE PARADE,,,,
NEVILLE PARADE,OSMONDTHORPE,TEMPLE NEWSAM,OSMONDTHORPE LANE,HALTON MOOR AVENUE,,,,
NEVILLE ROAD,OSMONDTHORPE,TEMPLE NEWSAM,RATHMELL PartIVE,WYKEBECK MOUNT - SEE GENERAL INFO.,,,,
NEVILLE STREET,CENTRAL,CITY AND HUNSLET,BISHOPGATE STREET,NEVILLE STREET,,,,
NEW ADEL LANE,LAWNSWOOD,ADEL AND WHARFEDALE,OTLEY ROAD,SPEN LANE,,,,
NEW BANK STREET,MORLEY,MORLEY NORTH,CHAPEL HILL,DAISY HILL,,,,
NEW BRIGGATE,CENTRAL,CITY AND HUNSLET,MERRION STREET,NORTH STREET,,,,
NEW BRIGGATE,CENTRAL,CITY AND HUNSLET,THE HEADROW,NORTH STREET,,,,
NEW LANE,GILDERSOME,MORLEY NORTH,OLD LANE,GILDERSOME LANE,,,,
NEW MARKET STREET,CENTRAL,CITY AND HUNSLET,KIRKGATE/VICAR LANE,DUNCAN STREET,,,,
NEW PARK VIEW,FARSLEY,CALVERLEY AND FARSLEY,SPRINGBANK CLOSE,PARKSIDE ROAD (53M) NORTH OF NEWLANDS,,,,
NEW PRINCESS STREET,HUNSLET,BEESTON AND HOLBECK,JACK LANE,HOLBECK MOOR ROAD,,,,
NEW ROAD,YEADON,GUISELEY AND RAWDON,JTN WITH GREEN LANE NEW ROAD SIDE AND APPERLEY LANE,LEEDS ROAD,,,,
NEW ROAD,LEDSHAM,KIPPAX AND METHLEY,PARK  LANE,GREAT NORTH ROAD (A1),,,,
NEW ROAD,BRAMHAM,WETHERBY,VICARAGE LANE,CLIFFORD ROAD,,,,
NEW ROAD,CARLTON,ROTHWELL,SHAYFIELD LANE,CHAPEL STREET,,,,
NEW ROAD SIDE,RAWDON,GUISELEY AND RAWDON,LEEDS ROAD,NEW ROAD,,,,
NEW ROAD SIDE,HORSFORTH,HORSFORTH,ABBEY ROAD (245 370),RAWDON ROAD (230 376),,,,
NEW STREET,PUDSEY,PUDSEY,LITTLEMOOR ROAD,CARLISLE ROAD,,,,
NEW STREET,FARSLEY,CALVERLEY AND FARSLEY,TOWN STREET,BRADFORD ROAD,,,,
NEW STURTON LANE,GARFORTH,GARFORTH AND SWILLINGTON,FIRTHFIELDS,END,,,,
NEW TEMPLE GATE,HALTON,TEMPLE NEWSAM,TEMPLE NEWSAM ROAD,TEMPLE LEA,,,,
NEW WOODHOUSE LANE,CITY,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,BLENHEIM WALK,,,,
NEW YORK ROAD,CENTRAL,CITY AND HUNSLET,NORTH STREET NEW BRIGGATE AND INNER RING ROAD,YORK ROAD - INCLUDING FLYOVER,,,,
NEW YORK STREET,CENTRAL,CITY AND HUNSLET,KIRKGATE,HARPER STREET,,,,
NEW YORK STREET,CENTRAL,CITY AND HUNSLET,HARPER STREET,YORK STREET,,,,
NEWALL CARR ROAD,OTLEY,OTLEY AND YEADON,WESTON LANE,THE CRESCENT,,,,
NEWHALL ROAD,MIDDLETON,MIDDLETON PARK,TOWN STREET,WINROSE DRIVE,,,,
NEWLANDS,FARSLEY,CALVERLEY AND FARSLEY,NEW STREET,NEW PARK VIEW,,,,
NEWLANDS DRIVE,MORLEY,MORLEY SOUTH,ALBERT DRIVE,WIDE LANE,,,,
NEWLAY LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,BROAD LANE,LEEDS/BRADFORD ROAD,,,,
NEWMARKET APPROACH,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,PONTEFRACT LANE,NORTHERLY,,,,
NEWMARKET LANE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,PONTEFRACT LANE,HALTON MOOR LANE,,,,
NEWMARKET LANE,METHLEY,ROTHWELL,SOUTH WEST SIDE OF M62 BRIDGE,PARK LANE/WATERGATE JUNCTION,,,,
NEWSAM GREEN ROAD,NEWSAM GREEN,GARFORTH AND SWILLINGTON,Bullerthorpe Lane (added to PSN from SSN Jan 2011),The Avenue,,,,
NEWTON LANE,LEDSTON,KIPPAX AND METHLEY,BARNSDALE ROAD / PARK LANE,A656 / C.6 ALLERTON BYWATER / EAST OF NEWTON C.93,,,,
NINELANDS LANE,GARFORTH,GARFORTH AND SWILLINGTON,BAR LANE AT RAILWAY BRIDGE,A.63 SELBY ROAD,,,,
NINEVEH ROAD,HOLBECK,BEESTON AND HOLBECK,BRIDGE ROAD,RAILWAY BRIDGE - JACK LANE,,,,
NIPPET LANE,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,BECKETTS STREET,TORRE ROAD,,,,
NORTH BROADGATE LANE,HORSFORTH,HORSFORTH,BROADGATE LANE,TOWN STREET,,,,
NORTH FARM ROAD,HAREHILLS,GIPTON AND HAREHILLS,OAKTREE DRIVE,ST WILFRIDS CIRCUS,,,,
NORTH FARM ROAD,HAREHILLS,GIPTON AND HAREHILLS,COLDCOTES CIRCUS,OAK TREE DRIVE,,,,
NORTH GROVE DRIVE,ROUNDHAY,ROUNDHAY,NORTH LANE,NORTH GROVE RISE,,,,
NORTH GROVE RISE,ROUNDHAY,ROUNDHAY,WEST NORTH LANE,NORTH GROVE PartIVE,,,,
NORTH LANE,HEADINGLEY,HEADINGLEY,OTLEY ROAD,CARDIGAN ROAD,,,,
NORTH LANE,ROUNDHAY,ROUNDHAY,WETHERBY ROAD,EASTERLY ROAD,,,,
NORTH LANE,WOODLESFORD,ROTHWELL,CALVERLEY ROAD,HOLMSLEY LANE,,,,
NORTH PARADE,OTLEY,OTLEY AND YEADON,MANOR STREET,WESLEY STREET,,,,
NORTH PARK AVENUE,ROUNDHAY,ROUNDHAY,OLD PARK ROAD,LIDGETT LANE,,,,
NORTH PARKWAY,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY MILL PartIVE,YORK ROAD INCLUDING SPUR AT YORK ROAD END TO SEACROFT AVE,,,,
NORTH STREET,WETHERBY,WETHERBY,YORK ROAD,HORSEFAIR,,,,
NORTH STREET,SHEEPSCAR,CITY AND HUNSLET,SLIP OFF INNER RING ROAD,VICAR LANE,,,,
NORTH STREET,SHEEPSCAR,CITY AND HUNSLET,VICAR LANE,CHAPELTOWN ROAD,,,,
NORTHERN STREET,CENTRAL,CITY AND HUNSLET,WHITEHALL ROAD,WELLINGTON STREET,,,,
NORTHGATE LANE,LINTON,HAREWOOD,SICKLINGHALL ROAD (C.180),LINTON ROAD,,,,
NORTHWOOD FALLS,WOODLESFORD,ROTHWELL,CHURCH STREET,BEECHWOOD,,,,
NORTON ROAD,ROUNDHAY,ROUNDHAY,STREET LANE,WEST PARK PartIVE,,,,
NURSERY LANE,MOORTOWN,ALWOODLEY,HARROGATE ROAD,KING LANE,,,,
