STREET,DISTRICT,WARD,FROM,TO,,,,
BRIDGE STREET,MORLEY,MORLEY SOUTH,TINGLEY BAR,HIGH STREET,,,,
BRIDGE STREET,OTLEY,OTLEY AND YEADON,MILL LANE,CLAPGATE,,,,
BRIGGATE,CENTRAL,CITY AND HUNSLET,BRIDGE END,BOAR LANE,,,,
BRIGSHAW LANE,ALLERTON BYWATER,KIPPAX AND METHLEY,PRESTON LANE,JUNCTION WITH TATEFIELD GROVE AND BUTT HILL,,,,
BRITANNIA ROAD,MORLEY,MORLEY SOUTH,BRUNTCLIFFE ROAD,TINGLEY COMMON,,,,
BROAD LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,BRAMLEY HILL,LEEDS & BRADFORD ROAD,,,,
BROADGATE LANE,HORSFORTH,HORSFORTH,BROADGATE LANE,LOW LANE,,,,
BROADLEA AVENUE,BRAMLEY,BRAMLEY AND STANNINGLEY,BROADLEA CRESCENT,BROADLEA HILL,,,,
BROADLEA CRESCENT,BRAMLEY,BRAMLEY AND STANNINGLEY,BROAD LANE,BROAD LANE,,,,
BROADLEA HILL,BRAMLEY,BRAMLEY AND STANNINGLEY,BROADLEA AVENUE,LEEDS & BRADFORD ROAD,,,,
BROADLEA TERRACE,BRAMLEY,BRAMLEY AND STANNINGLEY,BROAD LANE,BROADLEA HILL,,,,
BROADWAY,KIRKSTALL,KIRKSTALL,VESPER ROAD,CRAGSIDE WALK,,,,
BROADWAY,HORSFORTH,HORSFORTH,RING ROAD HORSFORTH (253379),HORSFORTH NEW ROAD (223369),,,,
BROOKLANDS AVENUE,SEACROFT,KILLINGBECK AND SEACROFT,BROOKLANDS CRESCENT,BAILEYS LANE,,,,
BROOKLANDS CRESCENT,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY MILL PartIVE,FOUNPartY MILL PartIVE,,,,
BROOKLANDS LANE,SEACROFT,KILLINGBECK AND SEACROFT,37YDS NORTH EAST BROOKLANDS AVENUE,BAILEYS LANE,,,,
BROWN AVENUE,HOLBECK,BEESTON AND HOLBECK,BROWN ROAD,BROWN PLACE,,,,
BROWN LANE EAST,HOLBECK,BEESTON AND HOLBECK,TOP MOOR SIDE,WEST TO END,,,,
BROWN LANE WEST,HOLBECK,BEESTON AND HOLBECK,GELDERD ROAD,BROWN ROAD,,,,
BROWN PLACE,HOLBECK,BEESTON AND HOLBECK, BROWN AVENUE, BROWN ROAD,,,,
BROWN ROAD,HOLBECK,BEESTON AND HOLBECK,BROWN LANE,BROWN PLACE,,,,
BROWNBERRIE LANE,HORSFORTH,HORSFORTH,LAYTON ROAD,STATION ROAD,,,,
BRUDENELL ROAD,HEADINGLEY,HEADINGLEY,HYDE PARK ROAD,CARDIGAN ROAD,,,,
BRUNSWICK STREET,MORLEY,MORLEY SOUTH,BRUNTCLIFFE LANE,QUEEN STREET,,,,
BRUNTCLIFFE AVENUE,MORLEY,MORLEY NORTH,BRUNTCLIFFE LANE,ROUNDABOUT (INC. ROUNDABOUT),,,,
BRUNTCLIFFE LANE,MORLEY,MORLEY SOUTH,HOWDEN CLOUGH ROAD,VICTORIA ROAD,,,,
BRUNTCLIFFE ROAD,MORLEY,MORLEY SOUTH,JUNCTION WITH BRITANNIA ROAD AND FOUNTAIN STREET,JUNCTION WITH HOWDEN CLOUGH RD WAKEFIELD RD AND BRUNTCLIFFE LN,,,,
BRUNTCLIFFE WAY,MORLEY,MORLEY SOUTH,BRUNTCLIFFE LANE,BRUNTCLIFFE AVENUE & SOUTH WEST TO END(TURNING HEAD),,,,
BUCKINGHAM ROAD,HEADINGLEY,HEADINGLEY,HEADINGLEY LANE,VICTORIA ROAD,,,,
BUCKLE LANE,GUISELEY,GUISELEY AND RAWDON,BRADFORD ROAD,CHEVIN END ROAD,,,,
BULLERTHORPE LANE,CROSSGATES,TEMPLE NEWSAM,WAKEFIELD ROAD,STILE HILL WAY,,,,
BUNKERS HILL,ABERFORD,HAREWOOD,JUNCT. WITH PARLINGTON LN MAIN ST & LOTHERTON LN,ROMAN ROAD,,,,
BURLEY PLACE,BURLEY,CITY AND HUNSLET,KIRKSTALL ROAD,VIADUCT ROAD,,,,
BURLEY ROAD,BURLEY,KIRKSTALL,WILLOW ROAD,KIRKSTALL HILL,,,,
BURLEY ROAD,BURLEY,KIRKSTALL,PARK LANE,WILLOW ROAD,,,,
BURMANTOFTS STREET,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,NEW YORK ROAD,BECKETT STREET,,,,
BURRAS LANE,OTLEY,OTLEY AND YEADON,KIRKGATE,WEST CHEVIN ROAD,,,,
BUSLINGTHORPE LANE,CHAPELTOWN,CHAPEL ALLERTON,CHAPELTOWN ROAD,MEANWOOD ROAD,,,,
BUTCHER HILL,WEST PARK,KIRKSTALL,LEA FARM ROAD,SPEN LANE,,,,
BUTCHER HILL,WEST PARK,KIRKSTALL,LOW LANE,LEA FARM ROAD,,,,
BUTCHER LANE,ROTHWELL,ROTHWELL,CHURCH STREET,CARLTON LANE,,,,
BUTT HILL,KIPPAX,KIPPAX AND METHLEY,CROSS HILLS,JUNCTION WITH BRIGSHAW LANE AND TATEFIELD GROVE,,,,
BUTT HILL,KIPPAX,KIPPAX AND METHLEY,CROSS HILLS,BRIGSHAW LANE,,,,
BUTT LANE,FARNLEY,FARNLEY AND WORTLEY,HALL LANE,PUDSEY ROAD,,,,
BUTTERBOWL DRIVE,FARNLEY,FARNLEY AND WORTLEY,WHINCOVER PartIVE,WHINCOVER,,,,
BUTTERLEY STREET,HUNSLET,CITY AND HUNSLET,LEATHERLEY ROAD,HUNSLET LANE,,,,
BUTTS COURT,CENTRAL,CITY AND HUNSLET,UPPER BASINGHALL STREET,ALBION STREET SOUTH,,,,
CALL LANE,CENTRAL,CITY AND HUNSLET,KIRKGATE,BRIGGATE,,,,
CALVERLEY LANE,HORSFORTH,HORSFORTH,VICTORIA MOUNT,NEW ROAD SIDE,,,,
CALVERLEY LANE,FARSLEY,CALVERLEY AND FARSLEY,TOWN STREET,RING ROAD FARSLEY,,,,
CALVERLEY LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,COAL HILL LANE,BROAD LANE,,,,
CALVERLEY ROAD,WOODLESFORD,ROTHWELL,(A642) ABERFORD ROAD,LEEDS ROAD (A639),,,,
CALVERLEY STREET,CENTRAL,CITY AND HUNSLET,EAST PARADE,FENTON STREET,,,,
CAMBRIDGE DRIVE,OTLEY,OTLEY AND YEADON,ST CLAIRS ROAD,LISKER PartIVE,,,,
CAMBRIDGE ROAD,SHEEPSCAR,HYDE PARK AND WOODHOUSE,MEANWOOD ROAD,WOODHOUSE STREET,,,,
CAMBRIDGE STREET,OTLEY,OTLEY AND YEADON,GAY LANE,CAMBRIDGE WAY,,,,
CAMBRIDGE WAY,OTLEY,OTLEY AND YEADON,OFF CAMBRIDGE STREET,ST CLARE ROAD,,,,
CANADA ROAD,RAWDON,GUISELEY AND RAWDON,HARROGATE ROAD,LARKFIELD CRESCENT,,,,
CANAL ROAD,RODLEY,CALVERLEY AND FARSLEY,TOWN STREET,BRIDGE ROAD,,,,
CANAL ROAD,ARMLEY,ARMLEY,ARMLEY ROAD,VIADUCT ROAD (AT CANAL BRIDGE),,,,
CANAL STREET,ARMLEY,ARMLEY,ARMLEY ROAD,WELLINGTON ROAD,,,,
CANAL STREET,ARMLEY,ARMLEY,CANAL STREET,WELLINGTON ROAD (SLIP ROAD ONLY),,,,
CARDEN AVENUE,HALTON,TEMPLE NEWCARDIGAN LANE,BURLEY,KIRKSTALL,BURLEY ROAD,BEECHWOOD CRESCENT,,
CARDIGAN ROAD,HEADINGLEY,HEADINGLEY,BURLEY ROAD,KIRKSTALL LANE,,,,
